V4_Gene_Model	CONEKT_link	conekt_description
Zm00001d021494	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/190969'>Conekt: Zm00001d021494</a>	FT-interacting protein 1 OS=Arabidopsis thaliana
Zm00001d023378	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/192065'>Conekt: Zm00001d023378</a>	Protein trichome birefringence-like 11 OS=Arabidopsis thaliana
Zm00001d024644	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/192954'>Conekt: Zm00001d024644</a>	RNA biosynthesis.transcriptional activation.MYB...
Zm00001d026022	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/194041'>Conekt: Zm00001d026022</a>	Protein biosynthesis.cytosolic ribosome.small subunit...
Zm00001d026191	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/194174'>Conekt: Zm00001d026191</a>	RNA biosynthesis.transcriptional activation.AP2/ERF...
Zm00001d027599	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/194881'>Conekt: Zm00001d027599</a>	Alkane hydroxylase MAH1 OS=Arabidopsis thaliana
Zm00001d029356	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/196257'>Conekt: Zm00001d029356</a>	5-pentadecatrienyl resorcinol O-methyltransferase...
Zm00001d030837	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/197244'>Conekt: Zm00001d030837</a>	
Zm00001d032366	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/198404'>Conekt: Zm00001d032366</a>	
Zm00001d035963	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/201134'>Conekt: Zm00001d035963</a>	
Zm00001d037694	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/202432'>Conekt: Zm00001d037694</a>	Phytohormones.cytokinin.perception and signal...
Zm00001d038366	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/202975'>Conekt: Zm00001d038366</a>	Cell wall.cutin and suberin.cuticular lipid...
Zm00001d039975	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/204311'>Conekt: Zm00001d039975</a>	
Zm00001d042189	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/205803'>Conekt: Zm00001d042189</a>	Probable potassium transporter 2 OS=Oryza sativa subsp. japonica
Zm00001d043612	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/206928'>Conekt: Zm00001d043612</a>	Multi-process regulation.SnRK1 metabolic regulator...
Zm00001d044441	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/207588'>Conekt: Zm00001d044441</a>	Cellular respiration.oxidative phosphorylation.ATP...
Zm00001d044593	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/207712'>Conekt: Zm00001d044593</a>	Protein translocation.nucleus.nucleocytoplasmic...
Zm00001d044644	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/207752'>Conekt: Zm00001d044644</a>	CBL-interacting protein kinase 32 OS=Oryza sativa subsp. japonica
Zm00001d044970	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/208000'>Conekt: Zm00001d044970</a>	Probable tyrosine-protein phosphatase DSP2 OS=Oryza...
Zm00001d045320	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/208278'>Conekt: Zm00001d045320</a>	Transcription elongation factor 1 homolog OS=Oryza...
Zm00001d048702	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/210869'>Conekt: Zm00001d048702</a>	indolin-2-one monooxygenase OS=Zea mays
Zm00001d051404	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/212776'>Conekt: Zm00001d051404</a>	Protein modification.phosphorylation.STE kinase...
Zm00001d052215	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/213414'>Conekt: Zm00001d052215</a>	5-adenylylsulfate reductase-like 3 OS=Oryza sativa...
Zm00001d052785	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/213852'>Conekt: Zm00001d052785</a>	Plant UBX domain-containing protein 11 OS=Arabidopsis thaliana
Zm00001d053568	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/214417'>Conekt: Zm00001d053568</a>	
Zm00001d053662	<a target='_blank' href='https://conekt.sbs.ntu.edu.sg/sequence/view/214489'>Conekt: Zm00001d053662</a>	Exopolygalacturonase OS=Zea mays
