Gene stable ID	Oryza sativa Japonica Group gene stable ID	Oryza sativa Japonica Group gene name	Oryza sativa Japonica Group homology type	Oryza sativa Japonica Group orthology confidence [0 low, 1 high]	OryzaID
Zm00001d024644	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os08g0144000'>Os08g0144000</a>		ortholog_one2one	1	Os08g0144000
Zm00001d026022	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os04g0585300'>Os04g0585300</a>		ortholog_one2many	1	Os04g0585300
Zm00001d027599	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os03g0140100'>Os03g0140100</a>		ortholog_one2many	1	Os03g0140100
Zm00001d027599	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os03g0139600'>Os03g0139600</a>		ortholog_one2many	1	Os03g0139600
Zm00001d032366	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os08g0364500'>Os08g0364500</a>		ortholog_one2one	1	Os08g0364500
Zm00001d035963	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os06g0115700'>Os06g0115700</a>		ortholog_one2many	0	Os06g0115700
Zm00001d037694	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os05g0186100'>Os05g0186100</a>		ortholog_one2one	1	Os05g0186100
Zm00001d038366	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os05g0457800'>Os05g0457800</a>		ortholog_one2many	1	Os05g0457800
Zm00001d039975	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0133100'>Os01g0133100</a>		ortholog_one2many	1	Os01g0133100
Zm00001d042189	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0935500'>Os01g0935500</a>		ortholog_one2many	1	Os01g0935500
Zm00001d043612	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os01g0719000'>Os01g0719000</a>		ortholog_one2one	1	Os01g0719000
Zm00001d044441	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os08g0250200'>Os08g0250200</a>		ortholog_one2many	1	Os08g0250200
Zm00001d044593	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0166000'>Os12g0166000</a>		ortholog_many2many	1	Os12g0166000
Zm00001d044593	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0165900'>Os12g0165900</a>		ortholog_many2many	1	Os12g0165900
Zm00001d044644	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os12g0132200'>Os12g0132200</a>		ortholog_many2many	1	Os12g0132200
Zm00001d044644	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os11g0134300'>Os11g0134300</a>		ortholog_many2many	1	Os11g0134300
Zm00001d045320	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os07g0631100'>Os07g0631100</a>		ortholog_one2one	0	Os07g0631100
Zm00001d051404	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os02g0666300'>Os02g0666300</a>		ortholog_one2many	1	Os02g0666300
Zm00001d052215	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os02g0754900'>Os02g0754900</a>		ortholog_one2many	1	Os02g0754900
Zm00001d053568	<a target='_blank' href='http://plants.ensembl.org/Oryza_sativa/Gene/Summary?g=Os02g0223700'>Os02g0223700</a>		ortholog_one2many	1	Os02g0223700
